"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"5/13/2019","7720.07","7760.83","7627.22","7647.02","1.75%","-0.95%","-0.19%","-4.00%","-2.32%","1","-0.75%"
"5/14/2019","7689.66","7776.2","7665.3","7734.49","1.45%","0.58%","-0.39%","-3.10%","-1.69%","","-0.44%"
"5/15/2019","7682.8","7838.72","7682.24","7822.15","2.04%","1.81%","-0.44%","-2.70%","-0.72%","","-0.19%"
"5/16/2019","7832.58","7946.23","7826.67","7898.05","1.53%","0.84%","-0.40%","-0.88%","0.64%","","0.01%"
"5/17/2019","7829.03","7918.71","7810.35","7816.28","1.39%","-0.16%","-0.45%","-0.92%","0.46%","1","-0.17%"
"5/20/2019","7714.06","7747.27","7678.35","7702.38","0.90%","-0.15%","-0.59%","-2.22%","-1.34%","1","-0.38%"
"5/21/2019","7765.57","7804.44","7752.92","7785.72","0.66%","0.26%","-0.61%","-1.13%","-0.47%","","-0.14%"
"5/22/2019","7749.8","7786.33","7738.35","7750.84","0.62%","0.01%","-0.65%","-1.12%","-0.51%","1","-0.19%"
"5/23/2019","7660.72","7665.15","7585.32","7628.28","1.05%","-0.42%","-0.80%","-2.67%","-1.64%","1","-0.42%"
"5/24/2019","7675.57","7694.15","7631.25","7637.01","0.82%","-0.50%","-0.89%","-1.75%","-0.94%","","-0.33%"
"5/28/2019","7655.66","7693.74","7603.76","7607.35","1.18%","-0.63%","-0.98%","-1.77%","-0.61%","1","-0.34%"
"5/29/2019","7553.02","7581.11","7503.94","7547.31","1.03%","-0.08%","-1.10%","-2.65%","-1.65%","1","-0.42%"
"5/30/2019","7565.46","7595.9","7527.66","7567.72","0.91%","0.03%","-1.15%","-2.05%","-1.16%","","-0.30%"
"5/31/2019","7470.95","7506.86","7448.23","7453.15","0.79%","-0.24%","-1.30%","-2.59%","-1.82%","1","-0.50%"
"6/3/2019","7441.21","7457.66","7292.22","7333.02","2.27%","-1.45%","-1.52%","-3.98%","-1.80%","1","-0.68%"
"6/4/2019","7413.94","7529.5","7385.02","7527.12","1.96%","1.53%","-1.46%","-2.61%","-0.70%","","-0.15%"
"6/5/2019","7585.68","7589.47","7498.17","7575.48","1.22%","-0.13%","-1.34%","-1.10%","0.10%","","-0.02%"
"6/6/2019","7582.24","7634.12","7546.22","7615.55","1.16%","0.44%","-1.19%","-0.54%","0.62%","","0.07%"
"6/7/2019","7652.97","7767.02","7647.91","7742.1","1.56%","1.16%","-0.92%","0.46%","2.02%","","0.34%"
"6/10/2019","7798.87","7895.44","7795.76","7823.17","1.28%","0.31%","-0.62%","1.93%","3.23%","","0.46%"
"6/11/2019","7901.04","7909.99","7798.63","7822.57","1.43%","-0.99%","-0.38%","1.58%","3.03%","1","0.38%"
"6/12/2019","7803.13","7819.16","7773.97","7792.72","0.58%","-0.13%","-0.23%","1.01%","1.59%","1","0.25%"
"6/13/2019","7822.56","7848.36","7813.6","7837.13","0.44%","0.19%","-0.06%","1.21%","1.66%","","0.30%"
"6/14/2019","7807.19","7819.21","7778.12","7796.66","0.53%","-0.13%","0.02%","0.59%","1.12%","1","0.17%"
"6/17/2019","7819.43","7865.98","7812.61","7845.02","0.68%","0.33%","0.14%","0.79%","1.48%","","0.24%"
"6/18/2019","7920.98","8005.21","7911.67","7953.88","1.18%","0.42%","0.33%","1.62%","2.83%","","0.44%"
"6/19/2019","7970.26","7998.59","7930.38","7987.32","0.86%","0.21%","0.51%","1.43%","2.30%","","0.43%"
"6/20/2019","8087.45","8088.88","7996.87","8051.34","1.15%","-0.45%","0.70%","1.77%","2.94%","","0.50%"
"6/21/2019","8028.69","8073.02","8011.2","8031.71","0.77%","0.04%","0.81%","1.58%","2.36%","1","0.37%"
"6/24/2019","8040.58","8047.56","8004.63","8005.7","0.54%","-0.43%","0.86%","1.24%","1.78%","1","0.25%"
"6/25/2019","8005.27","8007.31","7879.15","7884.72","1.63%","-1.51%","0.76%","-0.30%","1.32%","1","-0.05%"
"6/26/2019","7933.92","7974.28","7903.07","7909.97","0.90%","-0.30%","0.70%","-0.01%","0.89%","","0.02%"
"6/27/2019","7939.36","7976.58","7935.47","7967.76","0.52%","0.36%","0.70%","0.26%","0.78%","","0.13%"
"6/28/2019","7988.76","8010.15","7961.46","8006.24","0.61%","0.22%","0.73%","0.40%","1.01%","","0.19%"
"7/1/2019","8145.85","8150.45","8059.29","8091.16","1.13%","-0.67%","0.83%","1.29%","2.43%","","0.34%"
"7/2/2019","8086.65","8109.37","8063.11","8109.09","0.57%","0.28%","0.91%","1.01%","1.59%","","0.32%"
"7/3/2019","8129.57","8170.23","8122.34","8170.23","0.59%","0.50%","1.01%","1.36%","1.96%","","0.39%"
"7/5/2019","8123.28","8171.97","8093.66","8161.79","0.97%","0.47%","1.07%","0.69%","1.66%","1","0.31%"
"7/8/2019","8112.91","8161.79","8078.39","8098.38","1.03%","-0.18%","1.03%","0.37%","1.41%","1","0.12%"
"7/9/2019","8061.41","8146.98","8061.32","8141.73","1.06%","1.00%","1.03%","-0.03%","1.03%","","0.19%"
"7/10/2019","8183.19","8228.6","8160.56","8202.53","0.83%","0.24%","1.08%","0.91%","1.75%","","0.29%"
"7/11/2019","8219.28","8226.18","8171.63","8196.04","0.67%","-0.28%","1.09%","0.82%","1.49%","1","0.22%"
"7/12/2019","8209.2","8245.66","8201.52","8244.14","0.54%","0.43%","1.13%","0.90%","1.44%","","0.29%"
"7/15/2019","8263.18","8264.78","8236.27","8258.19","0.35%","-0.06%","1.15%","1.06%","1.41%","","0.27%"
"7/16/2019","8251.66","8259.75","8204.23","8222.8","0.68%","-0.35%","1.12%","0.52%","1.20%","1","0.15%"
"7/17/2019","8224","8230.67","8184.66","8185.21","0.56%","-0.47%","1.05%","0.23%","0.79%","1","0.05%"
"7/18/2019","8151.76","8215.58","8135.12","8207.24","0.99%","0.68%","1.00%","-0.46%","0.52%","","0.08%"
"7/19/2019","8241.34","8245.78","8144.63","8146.49","1.24%","-1.15%","0.88%","-0.29%","0.95%","1","-0.05%"
"7/22/2019","8171.99","8218.42","8171.54","8204.14","0.57%","0.39%","0.84%","-0.03%","0.54%","","0.07%"
"7/23/2019","8242.5","8251.83","8193.89","8251.4","0.71%","0.11%","0.84%","0.08%","0.79%","","0.16%"
"7/24/2019","8227.36","8321.81","8226.5","8321.5","1.16%","1.14%","0.90%","0.21%","1.37%","","0.27%"
"7/25/2019","8294.68","8295.95","8233.4","8238.54","0.76%","-0.68%","0.85%","0.23%","0.99%","1","0.06%"
"7/26/2019","8294.3","8339.64","8291.12","8330.21","0.59%","0.43%","0.88%","0.70%","1.29%","","0.23%"
"7/29/2019","8325.1","8325.28","8247.37","8293.33","0.94%","-0.38%","0.86%","0.05%","0.99%","1","0.12%"
"7/30/2019","8231.77","8295.46","8228.02","8273.61","0.82%","0.51%","0.82%","-0.25%","0.57%","1","0.06%"
"7/31/2019","8290.8","8299.83","8110.02","8175.42","2.34%","-1.39%","0.68%","-1.53%","0.77%","1","-0.15%"
"8/1/2019","8190.56","8311.04","8080.52","8111.12","2.85%","-0.97%","0.50%","-1.64%","1.16%","1","-0.25%"
