"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"8/13/2018","7848.00","7888.66","7814.27","7819.71","0.95%","-0.36%","0.39%","-0.18%","0.77%","1","-0.02%"
"8/14/2018","7847.88","7878.23","7815.50","7870.89","0.80%","0.29%","0.40%","-0.26%","0.54%","","0.09%"
"8/15/2018","7810.02","7832.66","7732.69","7774.12","1.29%","-0.46%","0.30%","-1.19%","0.09%","1","-0.13%"
"8/16/2018","7826.95","7849.67","7795.74","7806.52","0.69%","-0.26%","0.26%","-0.34%","0.35%","","-0.04%"
"8/17/2018","7786.64","7830.78","7752.68","7816.33","1.01%","0.38%","0.23%","-0.88%","0.12%","","-0.01%"
"8/20/2018","7834.37","7837.14","7787.90","7821.01","0.63%","-0.17%","0.21%","-0.43%","0.20%","","-0.00%"
"8/21/2018","7840.09","7897.68","7836.79","7859.17","0.78%","0.24%","0.23%","0.12%","0.90%","","0.08%"
"8/22/2018","7844.04","7897.63","7840.84","7889.10","0.72%","0.57%","0.27%","0.04%","0.76%","","0.13%"
"8/23/2018","7886.47","7926.32","7866.53","7878.46","0.76%","-0.10%","0.29%","0.28%","1.04%","1","0.09%"
"8/24/2018","7907.81","7949.71","7907.10","7945.98","0.54%","0.48%","0.37%","0.58%","1.12%","","0.22%"
"8/27/2018","7989.64","8024.94","7976.60","8017.90","0.61%","0.35%","0.49%","1.13%","1.74%","","0.33%"
"8/28/2018","8039.01","8046.31","8009.59","8030.04","0.46%","-0.11%","0.59%","1.24%","1.71%","","0.30%"
"8/29/2018","8044.34","8113.56","8042.10","8109.69","0.89%","0.81%","0.74%","1.23%","2.13%","","0.42%"
"8/30/2018","8094.20","8133.30","8069.57","8088.36","0.79%","-0.07%","0.81%","1.27%","2.07%","1","0.30%"
"8/31/2018","8079.31","8119.82","8079.31","8109.54","0.50%","0.37%","0.88%","1.09%","1.60%","","0.30%"
"9/4/2018","8087.95","8104.07","8042.14","8091.25","0.77%","0.04%","0.90%","0.42%","1.19%","1","0.21%"
"9/5/2018","8073.53","8077.84","7962.35","7995.17","1.45%","-0.97%","0.81%","-0.55%","0.89%","1","-0.03%"
"9/6/2018","7998.27","8001.97","7885.49","7922.73","1.48%","-0.94%","0.66%","-1.34%","0.12%","1","-0.17%"
"9/7/2018","7878.79","7962.53","7873.93","7902.54","1.13%","0.30%","0.51%","-1.30%","-0.19%","1","-0.19%"
"9/10/2018","7939.57","7945.03","7890.39","7924.16","0.69%","-0.19%","0.42%","-0.98%","-0.29%","","-0.11%"
"9/11/2018","7894.87","7986.32","7880.92","7972.47","1.34%","0.98%","0.38%","-1.11%","0.22%","","0.01%"
"9/12/2018","7958.87","7965.39","7884.05","7954.23","1.03%","-0.06%","0.34%","-1.04%","-0.02%","1","-0.03%"
"9/13/2018","7999.93","8037.51","7989.85","8013.71","0.60%","0.17%","0.35%","0.19%","0.79%","","0.10%"
"9/14/2018","8026.16","8040.83","7979.78","8010.04","0.77%","-0.20%","0.36%","-0.01%","0.76%","1","0.07%"
"9/17/2018","7992.21","8002.78","7890.07","7895.79","1.43%","-1.21%","0.24%","-0.96%","0.46%","1","-0.18%"
"9/18/2018","7903.57","7986.10","7901.01","7956.11","1.08%","0.66%","0.21%","-0.80%","0.27%","","-0.02%"
"9/19/2018","7962.55","7976.12","7917.73","7950.04","0.74%","-0.16%","0.18%","-0.56%","0.17%","1","-0.03%"
"9/20/2018","7993.53","8039.06","7986.41","8028.23","0.66%","0.43%","0.23%","0.17%","0.83%","","0.14%"
"9/21/2018","8041.69","8057.26","7979.67","7986.96","0.97%","-0.68%","0.22%","0.05%","1.03%","1","0.03%"
"9/24/2018","7939.38","7997.90","7912.47","7993.25","1.08%","0.68%","0.22%","-0.83%","0.24%","","0.04%"
"9/25/2018","8001.59","8014.12","7979.29","8007.47","0.44%","0.07%","0.23%","-0.05%","0.39%","","0.06%"
